id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2998.07,10616587554,15,10616587554,13626553.0,3033.62,2966.19,14.38,0.4819,25608812.0,0.2418,3541145.410128345,3541145.410128345,,7256.02,-58.68181,2022-05-13T15:09:54.509Z,558.54,436.76655,2022-05-13T01:36:45.053Z,,2025-06-07T10:48:56.206Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.98,9186883018,16,13980951805,327427466.0,14.03,13.21,0.76886,5.81947,505630057.0,5.82439,657099970.4527868,1000000000.0,1000000000.0,52.7,-73.45353,2021-05-10T00:13:57.214Z,0.148183,9340.40178,2017-11-29T00:00:00.000Z,,2025-06-07T10:48:45.928Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,20.85,8792329578,17,9522032234,320305049.0,20.84,19.35,1.49,7.69879,628868483.0,7.70345,421749914.5870988,456752245.8815484,720000000.0,144.96,-85.63081,2021-11-21T14:18:56.538Z,2.8,643.63732,2020-12-31T13:15:21.540Z,,2025-06-07T10:48:56.623Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.1,8395937282,18,8959309485,4411778.0,9.12,8.86,0.21629,2.43591,197808488.0,2.41285,923286453.9,985239504.0,,10.14,-10.27677,2025-03-10T09:26:43.294Z,0.799859,1036.89357,2019-12-24T15:14:35.376Z,,2025-06-07T10:48:56.331Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.265541,8281677501,19,13277445785,108774810.0,0.265988,0.262129,0.00340721,1.2998,106194793.0,1.29894,31188127612.55626,50001786892.81785,50001786892.81785,0.875563,-69.6779,2018-01-03T00:00:00.000Z,0.00047612,55660.56627,2015-03-05T00:00:00.000Z,,2025-06-07T10:48:56.784Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,408.28,8116376867,20,8116401108,214573581.0,408.25,384.65,23.01,5.97222,457176546.0,5.96899,19880137.39665078,19880196.77165078,21000000.0,3785.82,-89.21788,2017-12-20T00:00:00.000Z,76.93,430.56806,2018-12-16T00:00:00.000Z,,2025-06-07T10:48:56.872Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.2,7884497479,21,16408457019,193508899.0,3.2,3.12,0.072957,2.33508,180310252.0,2.34042,2465958201.143245,5131914781.211239,,8.25,-61.28003,2024-06-15T00:36:51.509Z,0.519364,515.32868,2021-09-21T00:33:11.092Z,,2025-06-07T10:48:45.831Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.28e-05,7540735376,22,7543992563,130675755.0,1.282e-05,1.237e-05,4.31351e-07,3.48817,255259984.0,3.50368,589249430719552.2,589503954379224.8,,8.616e-05,-85.14632,2021-10-28T03:54:55.568Z,5.6366e-11,22704485.41537,2020-11-28T11:26:25.838Z,,2025-06-07T10:48:56.736Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.169037,7139234323,23,8450846126,89037051.0,0.169026,0.164273,0.00440197,2.67377,180000955.0,2.58651,42239760472.49428,50000000000.0,50000000000.0,0.569229,-70.34243,2021-09-15T10:40:28.318Z,0.00986111,1611.97223,2020-01-02T17:30:24.852Z,,2025-06-07T10:48:56.683Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999738,7114278984,24,7114278984,6004672.0,0.999919,0.999564,-5.5477180653574e-05,-0.00555,110852024.0,1.58283,7116138781.231868,7116138781.231868,,1.057,-5.44619,2024-10-29T05:40:51.197Z,0.948265,5.42815,2024-10-03T13:19:28.826Z,,2025-06-07T10:48:56.208Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,88.23,6699502093,25,6699868234,267743386.0,88.36,84.27,3.94,4.67778,299413283.0,4.67827,75935014.48347135,75939164.48347135,84000000.0,410.26,-78.50154,2021-05-10T03:13:07.904Z,1.15,7577.2547,2015-01-14T00:00:00.000Z,,2025-06-07T10:48:50.379Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2493.34,6649600386,26,6649600386,210182634.0,2528.94,2467.27,9.25,0.3722,66876017.0,1.01593,2666945.120277374,2666945.120277374,,4799.89,-48.06005,2021-11-09T00:00:00.000Z,82.1,2936.49036,2018-12-15T00:00:00.000Z,,2025-06-07T10:48:56.994Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2662.23,6495527566,27,6503558941,14306374.0,2687.42,2634.46,14.45,0.54557,82960904.0,1.29372,2439907.08544084,2442923.900669924,,4311.81,-38.25787,2024-12-06T20:32:25.758Z,1505.24,76.86297,2025-04-09T03:45:31.391Z,,2025-06-07T10:48:56.371Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.02,6115653475,28,6115653475,150706397.0,4.03,3.88,0.123459,3.17046,189383510.0,3.19566,1522267060.0,1522267060.0,,54.98,-92.69495,2021-11-04T14:10:09.301Z,2.7,48.8953,2020-08-20T05:48:11.359Z,,2025-06-07T10:48:45.830Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,329.0,6069019962,29,6069019962,84299835.0,336.6,320.47,3.75,1.15174,69103402.0,1.15174,18446744.07370955,18446744.07370955,,542.33,-39.22713,2018-01-09T00:00:00.000Z,0.216177,152361.77981,2015-01-14T00:00:00.000Z,,2025-06-07T10:48:56.317Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,5987769566,30,5987769566,869521030.0,1.005,0.998301,9.008e-05,0.009,-531302.4042806625,-0.00887,5984993799.525416,5984993799.525416,,1.05,-4.73457,2024-08-05T14:21:42.527Z,0.942186,6.16269,2024-12-05T22:30:39.827Z,,2025-06-07T10:48:45.923Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.001,5883032686,31,5883032686,68768432.0,1.002,1.0,0.00037213,0.03718,10823410.0,0.18432,5875509069.485959,5875509069.485959,,1.032,-2.98442,2023-12-20T15:38:34.596Z,0.929486,7.72409,2024-10-04T07:57:15.809Z,,2025-06-07T10:48:56.538Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.68,5473514696,32,5473514696,21432847.0,4.68,4.58,0.04900601,1.05877,57987235.0,1.07076,1169993089.2,1169993089.2,2000000000.0,8.45,-44.62162,2024-12-27T11:41:24.992Z,0.0142795,32671.82149,2020-06-25T04:17:05.895Z,,2025-06-07T10:48:56.356Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.146e-05,4819190891,33,4819190891,876375821.0,1.158e-05,1.102e-05,3.76828e-07,3.40088,156796534.0,3.363,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-59.16407,2024-12-09T16:30:35.828Z,5.5142e-08,20656.3884,2023-04-18T02:14:41.591Z,,2025-06-07T10:48:56.679Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,105309.0,4680196404,34,4680196404,222737272.0,105377.0,103631.0,1652.13,1.59383,86264903.0,1.8778,44413.62703368,44413.62703368,,112129.0,-6.0243,2025-05-22T19:26:16.485Z,57439.0,83.45468,2024-09-12T14:07:41.775Z,,2025-06-07T10:48:56.706Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.624846,4605636030,35,7080340760,63036485.0,0.62982,0.612188,0.01265782,2.06764,108977326.0,2.42352,7371205150.500219,11331908109.83067,100000000000.0,2.99,-79.08648,2025-02-26T16:41:03.732Z,0.406999,53.51753,2025-04-05T04:50:37.033Z,,2025-06-07T10:48:56.234Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,31.54,4545330760,36,10250316315,20592369.0,31.65,31.35,0.090872,0.28895,12649147.0,0.27907,144118517.10815412,325006136.0,400000000.0,32.43,-2.76014,2025-05-26T02:26:11.557Z,3.06,930.03627,2023-02-13T19:01:21.899Z,,2025-06-07T10:48:56.388Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,253.8,3846572048,37,4060843046,263265275.0,254.5,249.12,2.95,1.17572,45670768.0,1.20158,15155757.578692226,16000000.0,16000000.0,661.69,-61.64501,2021-05-18T21:19:59.514Z,26.02,875.25166,2020-11-05T09:20:11.928Z,,2025-06-07T10:48:56.680Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.15,3691683827,38,6147856598,235293215.0,6.18,5.98,0.128298,2.13136,77851214.0,2.15426,600483073.71,1000000000.0,1000000000.0,44.92,-86.32368,2021-05-03T05:25:04.822Z,1.03,496.32228,2020-09-17T01:20:38.214Z,,2025-06-07T10:48:46.215Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999233,3577527047,39,3572936737,63246939.0,1.0,0.999009,-0.000338320962015137,-0.03385,39227280.0,1.10865,3580448084.525679,3575854026.330986,,1.22,-18.03355,2020-03-13T03:02:50.373Z,0.88196,13.2834,2023-03-11T07:50:50.514Z,,2025-06-07T10:48:46.130Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.18,3440552747,40,3440552747,9198112.0,1.18,1.18,-0.000131383833813503,-0.01116,7640177.0,0.22256,2921575205.209624,2921575205.209624,,1.29,-8.76334,2025-01-29T17:52:32.991Z,1.012,16.35151,2024-04-03T14:23:03.162Z,,2025-06-07T10:48:56.265Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,377.96,3328276724,41,7935863823,92921173.0,377.9,366.74,9.95,2.70497,94032571.0,2.9074,8807335.0,21000000.0,21000000.0,757.6,-50.12576,2024-03-07T18:45:36.466Z,30.83,1125.59215,2023-05-14T08:57:53.732Z,,2025-06-07T10:48:56.772Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,52.07,3124519849,42,12287574522,7932425.0,52.29,50.3,1.76,3.49495,105591468.0,3.49765,60000000.0,235957685.3,300000000.0,73.8,-29.4317,2024-03-14T00:30:12.502Z,0.580608,8870.21132,2019-01-14T00:00:00.000Z,,2025-06-07T10:48:45.455Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,4.73,2986205464,43,5442497270,99602571.0,4.76,4.59,0.132714,2.88635,83959207.0,2.8929,631368672.217176,1150698542.653821,,19.92,-76.25438,2023-01-26T14:25:17.390Z,3.08,53.58883,2022-12-29T21:35:14.796Z,,2025-06-07T10:48:45.769Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.42,2957174262,44,3036871986,118338777.0,2.42,2.28,0.141757,6.21773,174545496.0,6.27268,1221144178.0,1254054789.0,,20.44,-88.17054,2022-01-16T22:09:45.873Z,0.526762,358.97726,2020-11-04T16:09:15.137Z,,2025-06-07T10:48:45.798Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2912634585,45,2912634585,0.0,1.0,1.0,0.0,0.0,326120.0,0.0112,2912634585.303854,2912634585.303854,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-06-07T10:45:38.095Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.097466,2909682214,46,9518466090,18226471.0,0.09997,0.096389,-0.001126344726601988,-1.14243,-34634201.07028341,-1.17631,29879692752.32697,97745671644.88544,100000000000.0,0.965407,-89.91058,2021-11-24T15:53:54.855Z,0.0121196,703.68996,2019-02-08T00:00:00.000Z,,2025-06-07T10:48:56.376Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,183.26,2771208633,47,2771208633,36653357.0,184.37,178.06,4.01,2.23599,65618427.0,2.42529,15122662.63866645,15122662.63866645,,339.52,-45.99851,2025-01-19T11:21:54.080Z,0.57898,31567.10436,2023-09-12T10:21:17.665Z,,2025-06-07T10:48:56.765Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.06,2701588123,48,2701588123,52084559.0,5.06,4.93,0.077133,1.54756,37767064.0,1.41778,534065737.8152318,534065737.8152318,,700.65,-99.27807,2021-05-10T16:05:53.653Z,2.87,76.54855,2023-09-22T00:29:57.369Z,,2025-06-07T10:48:46.054Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.835174,2638203193,49,8351102862,74983160.0,0.834978,0.801267,0.03331989,4.15536,105060372.0,4.14743,3159107529.0,10000000000.0,10000000000.0,2.14,-60.98555,2024-12-16T00:36:00.777Z,0.082171,916.13739,2024-01-18T12:14:30.524Z,,2025-06-07T10:48:56.889Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,17.15,2611265689,50,2611303435,52794562.0,17.19,16.53,0.62557,3.78465,95413637.0,3.7925,152218547.2034663,152220747.5231463,210700000.0,167.09,-89.73307,2021-05-06T18:34:22.133Z,0.615038,2689.18239,2016-07-25T00:00:00.000Z,"{'times': 37.1215873477216, 'currency': 'usd', 'percentage': 3712.15873477216}",2025-06-07T10:48:46.103Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.054,2566272549,51,2566272549,7350606.0,1.054,1.054,-4.5237657862573e-05,-0.00429,47813100.0,1.89851,2434736425.446592,2434736425.446592,,1.088,-3.11509,2025-02-03T02:31:35.208Z,0.961716,9.59834,2025-01-04T01:21:08.460Z,,2025-06-07T10:48:45.966Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,30.65,2454519920,52,3068303401,23734579.0,30.84,29.48,1.079,3.65013,88814239.0,3.75424,79995997.76037452,100000000.0,100000000.0,50.43,-39.15879,2025-01-03T19:12:43.038Z,0.111255,27479.09432,2019-04-28T00:00:00.000Z,"{'times': 104.5154778390862, 'currency': 'usd', 'percentage': 10451.54778390862}",2025-06-07T10:48:56.912Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.087605,2302065204,53,2302100885,38622308.0,0.087734,0.084512,0.00228963,2.68373,60341266.0,2.69173,26280466152.21633,26280873483.06374,28704026601.0,0.207411,-57.76366,2024-08-01T00:40:47.164Z,0.00017105,51114.8751,2022-05-26T14:42:59.316Z,,2025-06-07T10:48:45.931Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,18.54,2249604060,54,5560633891,7540672.0,18.78,18.39,0.04846103,0.26214,5864225.0,0.26136,121367677.01585002,300000000.0,,25.94,-28.54325,2025-01-25T03:07:37.823Z,0.25754,7097.11641,2020-03-13T02:18:02.481Z,,2025-06-07T10:48:56.609Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.650069,2187329166,55,4043069435,142152643.0,0.651175,0.634993,0.01177315,1.84447,39021301.0,1.81637,3364694382.83684,6219316794.99,6219316794.99,1.54,-57.75165,2024-04-08T09:45:25.482Z,0.307978,111.08064,2023-10-18T02:50:46.942Z,,2025-06-07T10:48:45.563Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/30Q2SFVH_400x400.jpg?1742998328,1.0,2181905251,56,2181905251,172507436.0,1.004,0.997906,-8.1766113055215e-05,-0.00817,-1044700.279150486,-0.04786,2181589211.0,2181589211.0,,1.025,-2.409,2025-05-12T12:36:39.412Z,0.989703,1.05434,2025-04-16T00:36:15.580Z,,2025-06-07T10:48:56.559Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.0244399,2101181968,57,2101181968,35912168.0,0.02443552,0.02328272,0.00114915,4.93391,98595738.0,4.92342,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.30572,2021-04-19T01:08:21.675Z,0.00191713,1174.30575,2020-03-13T02:29:59.652Z,"{'times': 2.429818282916915, 'currency': 'eth', 'percentage': 242.98182829169147}",2025-06-07T10:48:46.089Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.47,2093648515,58,10468243849,719455755.0,10.49,9.67,0.801196,8.28832,161356849.0,8.35054,199999975.635994,1000000000.0,1000000000.0,73.43,-85.74481,2025-01-19T11:50:34.806Z,4.29,143.96344,2025-01-18T03:40:29.231Z,,2025-06-07T10:48:46.106Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.89,2015901887,59,2073355867,68936658.0,3.9,3.71,0.182248,4.91114,94159013.0,4.89967,517893827.0562826,532654000.3362826,,13.53,-71.23792,2024-03-17T16:30:24.636Z,0.03665669,10519.77929,2020-06-16T13:22:25.900Z,,2025-06-07T10:48:56.908Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.764742,1991646661,60,2075392528,157017288.0,0.768251,0.715017,0.02267488,3.05564,57323838.0,2.96351,2604959126.672,2714493896.672,2714493896.672,3.45,-77.86856,2024-03-28T17:21:18.050Z,0.00816959,9257.29262,2020-03-13T02:24:18.347Z,"{'times': 7.820559311326857, 'currency': 'usd', 'percentage': 782.0559311326857}",2025-06-07T10:48:46.025Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.31,1951431438,61,1951431438,99412737.0,4.31,4.13,0.174778,4.22902,79632893.0,4.25435,453037091.562905,453037091.562905,,44.45,-90.30953,2022-01-17T00:34:41.497Z,1.16,271.29365,2020-03-13T02:27:44.591Z,"{'times': 42.07611304986296, 'currency': 'usd', 'percentage': 4207.611304986296}",2025-06-07T10:48:45.818Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.215312,1925416694,62,2249244739,128629189.0,0.220576,0.20707,0.00822891,3.97372,74903699.0,4.04773,8936960027.18736,10440031179.66523,,1.29,-83.26545,2024-03-13T18:55:06.692Z,0.153392,40.46858,2025-04-07T07:06:08.017Z,,2025-06-07T10:48:46.194Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.314395,1911290031,63,4709544225,221299476.0,0.313892,0.294382,0.01925447,6.52383,115931435.0,6.45729,6087500000.0,15000000000.0,,1.52,-79.31367,2024-04-11T13:15:15.057Z,0.195078,60.93911,2024-09-06T21:04:48.253Z,,2025-06-07T10:48:56.835Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.41,1893531907,64,3832949141,55208811.0,4.42,4.4,-0.007669913847396792,-0.17366,-3238093.9968509674,-0.17072,429486279.0,869380155.8,1000000000.0,4.45,-0.84399,2025-05-31T12:16:03.074Z,0.398142,1007.35128,2023-01-21T10:15:39.503Z,,2025-06-07T10:48:56.663Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,105116.0,1861568614,65,1861568614,18599063.0,105141.0,103435.0,1666.18,1.61062,-25363442.2425344,-1.34416,17710.72566778004,17710.72566778004,,114576.0,-8.25684,2025-02-04T01:47:44.052Z,52119.0,101.68196,2024-09-06T21:01:52.094Z,,2025-06-07T10:48:45.545Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.13,1801633284,66,11332141334,182229825.0,1.13,1.051,0.08055,7.65064,149222813.0,9.03061,1589843640.911676,10000000000.0,10000000000.0,11.74,-90.34818,2024-03-10T00:10:42.330Z,0.583741,94.12425,2025-04-07T07:06:11.379Z,,2025-06-07T10:48:45.770Z
